"id";"nama";"id_kota";"created_at";"updated_at"
"156";"SILIH NARA";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"157";"BIES";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"158";"RUSIP ANTARA";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"159";"PEUNARON";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"160";"LANGSA LAMA";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"161";"KEUMALA";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"162";"PULAU BANYAK BARAT";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"163";"LUT TAWAR";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"164";"SIMPANG TIGA";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"165";"BAITURRAHMAN";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"166";"LHOKNGA (LHO\NGA)";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"167";"BEBESEN";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"168";"KUTE PANANG";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"169";"ATU LINTANG";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"170";"BINTANG";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"171";"KETAMBE";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"172";"LABUHAN HAJI TIMUR";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"173";"KOTA JANTHO";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"174";"PERMATA";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"175";"KUTA BLANG";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"176";"BEUTONG";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"177";"TRIPA MAKMUR";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"178";"BEUTONG ATEUH BANGGALANG";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"179";"BUKIT";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"180";"TELUK DALAM";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
